# t,tx,ty,tz,rx,ry,rz
1.763579371021122456e+09,1.666825563603165083e-02,-2.536469138465229367e-01,6.889520679689921101e-01,2.152613255179098850e+00,-1.630081285285356563e+00,-3.921329325002912980e-01
1.763579371071388483e+09,1.888472985022514664e-02,-2.592786007002070847e-01,6.847151868532591612e-01,2.158091115951196404e+00,-1.612579397898469269e+00,-3.940210628743550103e-01
1.763579371121499777e+09,2.166647226194694936e-02,-2.651851277134049667e-01,6.803242550692549795e-01,2.167965900912519395e+00,-1.589456582828608910e+00,-3.904629658398380276e-01
1.763579371171456814e+09,2.263432473057156585e-02,-2.726712223882184483e-01,6.752098092701650511e-01,2.179922311228492227e+00,-1.573207098371351531e+00,-3.823308639487650318e-01
1.763579371221289635e+09,2.160020971257893205e-02,-2.821244122000071686e-01,6.700230037179812914e-01,2.191746011473392652e+00,-1.566437257338693101e+00,-3.757206447207453448e-01
1.763579371271729946e+09,1.740990650217663638e-02,-2.918172622309048170e-01,6.668254176725262328e-01,2.198770395613866668e+00,-1.572932845018716330e+00,-3.779522283885847767e-01
1.763579371322335482e+09,9.898008113180681647e-03,-3.000844299969555040e-01,6.658311274271986324e-01,2.195185104763595962e+00,-1.594003729849298834e+00,-3.919046704136077142e-01
1.763579371373356581e+09,2.716364936044788746e-03,-3.058671706587767769e-01,6.671539209056720487e-01,2.181057004174300928e+00,-1.622535398731443923e+00,-4.109875452453575773e-01
1.763579371423836946e+09,-2.229969506671383283e-03,-3.100323629087974320e-01,6.692146453252799665e-01,2.159277874656914786e+00,-1.653983163469642470e+00,-4.301226860730327228e-01
1.763579371473369122e+09,-4.794156134257081953e-03,-3.119860640822929576e-01,6.715787623827909059e-01,2.130972344725027501e+00,-1.685223979966336660e+00,-4.456098330629127413e-01
1.763579371522775888e+09,-4.132714361312760099e-03,-3.116516172431858522e-01,6.740358877856117426e-01,2.094891048635053377e+00,-1.712750452949240110e+00,-4.680883507016390666e-01
1.763579371572317839e+09,-4.194019907984338109e-03,-3.095072031762229336e-01,6.783217872035057772e-01,2.056523484184258788e+00,-1.740321549045735328e+00,-4.917411182797876701e-01
1.763579371622221947e+09,-3.551482966380870628e-03,-3.094703603334162945e-01,6.822548151122300730e-01,2.017878986881338488e+00,-1.768848040530362598e+00,-5.189476102581523920e-01
1.763579371672618866e+09,-4.279255538982916496e-03,-3.109178923698934227e-01,6.863535144558623458e-01,1.980941407168033797e+00,-1.802582519530801175e+00,-5.404518873751410490e-01
