# t,tx,ty,tz,rx,ry,rz
1.763579366991326094e+09,1.016569946244805511e-01,3.261908315786520851e-01,1.336056570495573137e+00,2.200690117278430336e+00,-2.039169827756730058e+00,3.197067591041014012e-01
1.763579367005014896e+09,1.027365503685736398e-01,3.174291523750289445e-01,1.333600017457401865e+00,2.208421736471049446e+00,-2.033657301704695275e+00,3.099262252195357781e-01
1.763579367018703699e+09,1.034241479903370287e-01,3.091703750790008587e-01,1.330967011433333846e+00,2.215950184537061940e+00,-2.028432665659554157e+00,3.000993649075537895e-01
1.763579367032392740e+09,1.036905641336996059e-01,3.015663774592565738e-01,1.328103795661930597e+00,2.223165012233062843e+00,-2.023549204147600644e+00,2.902507409398086269e-01
1.763579367046081543e+09,1.035146433347030326e-01,2.947377089653038795e-01,1.324992390692068200e+00,2.229976501128634769e+00,-2.019004936373466119e+00,2.804809591301290483e-01
1.763579367059770584e+09,1.028853067830246271e-01,2.887749770102200353e-01,1.321633669847531722e+00,2.236314874409764286e+00,-2.014769965395401208e+00,2.709152470485957642e-01
1.763579367073459387e+09,1.017828049324574630e-01,2.837889948120160821e-01,1.318023331228550310e+00,2.242097193101785901e+00,-2.010820992322931211e+00,2.616864489840149965e-01
1.763579367087148190e+09,1.002525251211119350e-01,2.797517243339966431e-01,1.314185423688665644e+00,2.247329648551203540e+00,-2.007104114514868698e+00,2.528479171008108928e-01
1.763579367100837231e+09,9.843917469871762971e-02,2.764257289158755238e-01,1.310185078710750073e+00,2.252153365689494535e+00,-2.003522233585906420e+00,2.443275812124827973e-01
1.763579367114526033e+09,9.650956580247169181e-02,2.735271065004626356e-01,1.306097314477278726e+00,2.256738290613100606e+00,-1.999968392424142039e+00,2.360268385476054775e-01
1.763579367128215075e+09,9.462041898935502626e-02,2.707895831110412876e-01,1.301992821463257233e+00,2.261248834387199480e+00,-1.996337895929730211e+00,2.278604143830239015e-01
1.763579367141903877e+09,9.287732383379451728e-02,2.680099977714926474e-01,1.297927433179687950e+00,2.265866880232772385e+00,-1.992523147414806406e+00,2.198269617789336827e-01
1.763579367155592680e+09,9.133176934531500590e-02,2.650598713550800234e-01,1.293939087009622790e+00,2.270781530356756672e+00,-1.988417002138389122e+00,2.120105259816977283e-01
1.763579367169281721e+09,9.004063619391103335e-02,2.617978562579851842e-01,1.290068603257946034e+00,2.276187395421939819e+00,-1.983910132204681043e+00,2.044870966859160255e-01
1.763579367182970524e+09,8.904601162051997698e-02,2.581368537456922296e-01,1.286345126499268687e+00,2.282243913292251403e+00,-1.978906749568223322e+00,1.973544271782170234e-01
1.763579367196659565e+09,8.834990852428536989e-02,2.541654667473663975e-01,1.282759126761294333e+00,2.288983245314824888e+00,-1.973359344888748979e+00,1.907647287633150723e-01
1.763579367210348368e+09,8.793657109940318517e-02,2.500458486310750961e-01,1.279285291160152660e+00,2.296385929081628863e+00,-1.967240280733015600e+00,1.848956212322262482e-01
1.763579367224037170e+09,8.779222390344428029e-02,2.459323112736088446e-01,1.275899753061260578e+00,2.304437424920739996e+00,-1.960520213311436999e+00,1.799210333046714350e-01
1.763579367237726212e+09,8.789020648106030120e-02,2.419558201136931819e-01,1.272575525432128929e+00,2.313074346902339151e+00,-1.953252590584200199e+00,1.759482300724106441e-01
1.763579367251415014e+09,8.818216590700343749e-02,2.381961075497327773e-01,1.269281785289862796e+00,2.322149227485601486e+00,-1.945641379910111990e+00,1.729590088654960611e-01
1.763579367265104055e+09,8.861803806419307761e-02,2.347289936629484153e-01,1.265987103729198093e+00,2.331505927061932493e+00,-1.937903817317816690e+00,1.709234543647192850e-01
1.763579367278792858e+09,8.914839245923590616e-02,2.316291624439527908e-01,1.262660691223848719e+00,2.340984689994891621e+00,-1.930259872807140509e+00,1.698084790119624710e-01
1.763579367292481661e+09,8.974570124870949461e-02,2.289681748209284884e-01,1.259280771905276763e+00,2.350372026781780033e+00,-1.922935055133210058e+00,1.695489735884673776e-01
1.763579367306170702e+09,9.039799399036992089e-02,2.268138842638147690e-01,1.255832285579972618e+00,2.359417230938484877e+00,-1.916158669531181635e+00,1.700560744493184728e-01
1.763579367319859505e+09,9.109319867623665024e-02,2.252365440599580493e-01,1.252300096423379250e+00,2.367864480545109451e+00,-1.910163565068611735e+00,1.712406750954193480e-01
1.763579367333548546e+09,9.183252906463607035e-02,2.242705074409761246e-01,1.248675731060209682e+00,2.375502416605167699e+00,-1.905144764428211568e+00,1.730015729570836824e-01
1.763579367347237349e+09,9.267221551521015455e-02,2.238154623789951891e-01,1.244977360745242789e+00,2.382273415709887932e+00,-1.901165773648590074e+00,1.751856716176438122e-01
1.763579367360926151e+09,9.368440093749307029e-02,2.237230122207580219e-01,1.241232139152706582e+00,2.388182663865942690e+00,-1.898236598941071218e+00,1.776255474526225453e-01
1.763579367374615192e+09,9.494409044591391178e-02,2.238494050971173710e-01,1.237466589704620645e+00,2.393220872134191879e+00,-1.896379591639714368e+00,1.801506061871701592e-01
1.763579367388303995e+09,9.648620335913181412e-02,2.240511809266823029e-01,1.233705172121633442e+00,2.397453601191433137e+00,-1.895552614545444658e+00,1.826313167722045938e-01
1.763579367401993036e+09,9.828653694725025813e-02,2.241920806358446983e-01,1.229967606330543584e+00,2.401044685509575505e+00,-1.895628869286035911e+00,1.849989825882282501e-01
1.763579367415681839e+09,1.003099551962301772e-01,2.241349554521429310e-01,1.226273398948101390e+00,2.404179647831689692e+00,-1.896463017282745245e+00,1.871957782081352939e-01
1.763579367429370642e+09,1.025237684829670148e-01,2.237513654562795495e-01,1.222641070894340931e+00,2.407031038333892425e+00,-1.897916156406709964e+00,1.891637628048193076e-01
1.763579367443059683e+09,1.048962389467431311e-01,2.230004246543811075e-01,1.219080744141255002e+00,2.409698604834484836e+00,-1.899858106909844357e+00,1.908691391119526348e-01
1.763579367456748486e+09,1.073975355731969228e-01,2.219176784777595612e-01,1.215595276264308522e+00,2.412211732106017692e+00,-1.902172812960934545e+00,1.922972097845927486e-01
1.763579367470437527e+09,1.099982313254322941e-01,2.205340532728740643e-01,1.212187912994734607e+00,2.414607739269460929e+00,-1.904739759151508949e+00,1.934324163800473506e-01
